"","Year","Spain","UK","France","Poland","Belgium","Germany","Sweden","Greece","Region"
"19351",1935,3.12469950693832e-09,0.464186500905002,0.0342333880624593,1.03677298734755e-10,0.501579523131043,3.03968267829814e-08,5.54276116195969e-07,1.75828797688821e-13,"Middle"
"19371",1937,3.68908842770707e-17,0.588631359546704,4.9438452071608e-05,1.65168752097027e-16,0.411319201865228,2.60753787319276e-14,1.35969979209168e-10,9.64878041078776e-23,"Middle"
"19381",1938,8.16672817972914e-16,0.424391024450551,0.000170692131543246,2.30637676962431e-14,0.575438278847263,1.91094415977549e-12,4.5687072133797e-09,2.13909000158597e-20,"Middle"
"19391",1939,5.36636501391099e-18,0.371569701024086,2.95390035628731e-05,2.75912671764057e-15,0.628400758418397,1.24367984919211e-13,1.55382684399101e-09,1.74168662016144e-22,"Middle"
"1940",1940,1.16202023768459e-05,0.598986794086106,0.15276909506063,1.13645982007404e-12,0.248232479027989,7.72613748476329e-09,3.89178190079786e-09,3.84209405188537e-12,"Middle"
"19412",1941,0.978329801400864,8.09658474772302e-05,0.0215839552414277,5.67711352715158e-13,4.86157723190094e-06,4.62626963765741e-08,3.11761503884092e-11,3.69638558435218e-07,"Middle"
"19421",1942,0.972667647493192,8.6315351457685e-05,0.0272412311572402,5.04363146258731e-13,4.66571702584001e-06,4.65918061617659e-08,2.89757366105496e-11,9.36597979498858e-08,"Middle"
"19431",1943,7.56226477543863e-16,0.590222925432093,0.000143835913208782,1.04026172958326e-15,0.409633238251674,2.02292270276839e-13,4.02820466197336e-10,2.56773434182347e-21,"Middle"
"19462",1946,4.87553054662003e-17,0.447421288629478,4.68461221564056e-05,1.68775960484245e-14,0.552531861733467,7.43319697966701e-13,3.51413890567289e-09,3.89432929272753e-21,"Middle"
"19472",1947,0.239802523234112,0.31089345190562,0.174629950396554,3.8913115701397e-11,0.274673393836406,5.54226297219642e-07,2.06305955124306e-08,1.05731501977819e-07,"Middle"
"19482",1948,5.51587267525849e-17,0.395441581290861,6.69317874821899e-05,7.78632496801574e-15,0.604491484244863,4.57554474932596e-13,2.67632867559384e-09,1.68338660538452e-21,"Middle"
"19492",1949,0.32656677332153,0.367800170715861,0.0069945742679842,3.73847477949451e-12,0.298638020360616,1.30689691563252e-07,8.32812279331562e-10,3.29807766140712e-07,"Middle"
"19521",1952,2.43343002272516e-13,0.380680307754003,0.000878798165046734,5.55712658761388e-12,0.618440760772274,3.7470900488658e-10,1.3292816689508e-07,5.48246006651133e-17,"Middle"
"1953",1953,5.22120213530915e-05,0.281990630410463,0.554888967883423,1.88400914831837e-09,0.16306446763435,2.41860925894528e-06,1.30037232048759e-06,1.1848215487292e-09,"Middle"
"19551",1955,0.998957681442397,4.05929576070788e-07,0.00104137812051055,3.68491619014503e-13,3.12956440445244e-08,3.02414000485706e-08,4.00047887500372e-12,4.7296610329393e-07,"Middle"
"19562",1956,2.58486229901467e-12,0.602812377736451,0.00252095280344231,1.25567650057994e-13,0.394666662795546,4.44333855971796e-11,6.61741694671435e-09,1.57327829914302e-17,"Middle"
"19572",1957,3.2087853417139e-14,0.43807823180997,0.000619448009070745,1.78312397573207e-13,0.561302305424841,2.0002112872319e-11,1.47359059655022e-08,1.01498383428708e-18,"Middle"
"19582",1958,0.00119700141165443,0.101017724878647,0.842215063154683,7.11597328473334e-09,0.0555556451850309,1.27306607381578e-05,1.79273696975362e-06,3.48563027262127e-08,"Middle"
"19591",1959,0.00661316445856714,0.128461261267081,0.847813102373916,2.60198073959823e-11,0.0171121219581717,3.31564983145949e-07,1.53520108665363e-08,2.99924977888097e-09,"Middle"
"19611",1961,0.310278145060142,0.403662102140986,0.0372391522066745,1.34912257965106e-12,0.248820460186649,6.51648815320872e-08,6.11133963425157e-09,6.91279777672978e-08,"Middle"
"19622",1962,1.66428864461089e-14,0.423742437856454,0.000495324454345095,1.53185104856865e-13,0.575762223557593,1.53567659930062e-11,1.41160812303481e-08,5.88861951546899e-19,"Middle"
"19641",1964,0.799048978423635,0.000343953370998548,0.199756201879764,1.42804365638173e-07,0.000217090721038024,0.000397447588082096,1.05262704783945e-06,0.000235132585068801,"Middle"
"19651",1965,2.26863869249534e-13,0.568780023581734,0.000478191521756567,3.70271843028722e-15,0.430741783957585,1.0099487236956e-12,9.3768411690524e-10,1.98115200660073e-19,"Middle"
"19662",1966,0.49104788697064,0.342237004799613,0.00893433445043363,1.97268473378016e-09,0.157730154528861,1.34994331412039e-05,1.13825646699892e-08,3.71064620611841e-05,"Middle"
"19672",1967,5.68151926003172e-12,0.0572256182413768,0.00399126549447093,3.89658875328592e-07,0.938196642339182,2.43457097059374e-06,0.00058364968863662,8.06089818088742e-13,"Middle"
"19681",1968,6.40467331442904e-09,0.483887413797964,0.028151604224441,3.2443537478611e-10,0.487960017234758,7.80840818310904e-08,8.79928683418464e-07,9.62886756601549e-13,"Middle"
"19691",1969,0.0055932087795057,0.135709290275171,0.840097093299458,2.76437972522345e-11,0.0186000548448718,3.33229509949598e-07,1.6822165821372e-08,2.72167485870465e-09,"Middle"
"19702",1970,0.508907674531636,0.0121118402304604,0.471889976192329,1.59420731291619e-08,0.0070074648918566,4.08684501129594e-05,1.24451911157844e-06,4.09152424208029e-05,"Middle"
"19712",1971,6.83536456750392e-14,0.450415742741351,0.00080139753264947,2.24882174876571e-13,0.548782843492838,2.82922885286523e-11,1.62045769626411e-08,1.9663573605769e-18,"Middle"
"19722",1972,7.16618611944012e-17,0.443492481997148,6.37391329161519e-05,2.11734281226918e-14,0.55644377432571,9.6678832648891e-13,4.54323729115478e-09,4.91237063521863e-21,"Middle"
"19732",1973,1.59146014286261e-06,0.559737508170247,0.119742250193751,2.48883827357901e-11,0.32051854300838,4.56789553669826e-08,6.14566547363739e-08,6.98103255556178e-12,"Middle"
"19741",1974,3.28251528785106e-16,0.541404711405648,7.14620403173153e-05,1.76361301317577e-15,0.458523826027779,2.34733294245836e-13,5.26019159112249e-10,3.11949780176268e-21,"Middle"
"19772",1977,1.88621693494187e-18,0.498453971918124,1.87561792898961e-05,1.38198844815445e-16,0.501527271733249,1.12679733615869e-14,1.69326340377085e-10,1.13360658952671e-23,"Middle"
"19782",1978,1.75863590451521e-17,0.413697552440305,4.39069584433833e-05,2.63099243314796e-15,0.586258539292678,1.59057911555238e-13,1.30841196256839e-09,3.69122085530791e-22,"Middle"
"19792",1979,0.0549816954324105,0.00586906781933464,0.926173763301954,4.88890069724289e-06,0.00961809267257953,0.00317932903602699,8.89993871215531e-05,8.41634498758973e-05,"Middle"
"19801",1980,4.14417493512594e-10,0.595818017414893,0.015071644302071,2.92297312192022e-12,0.389110293625508,1.43760549595645e-09,4.28025780691242e-08,4.06565534485306e-15,"Middle"
"19811",1981,3.94786465869309e-05,0.299179704736527,0.525582981788939,1.71649517337992e-09,0.175194434640864,2.12144874289341e-06,1.27612166199869e-06,9.00182915673316e-10,"Middle"
"19822",1982,1.40270888353324e-09,0.576251004234652,0.0234556580926551,8.29667591948657e-12,0.400293248443322,4.0800238946765e-09,8.37383231316625e-08,1.87685821922172e-14,"Middle"
"19832",1983,0.00681956950303522,0.323157555152088,0.465643721284519,2.38282233748679e-08,0.204334632595323,4.18788682859328e-05,2.05751895423921e-06,5.61249570825914e-07,"Middle"
"19841",1984,2.26289644990132e-16,0.318738624179544,0.000113585264226709,8.15633098808178e-14,0.681147776467819,3.44786333932634e-12,1.40848812728933e-08,2.12090090816859e-20,"Middle"
"19851",1985,4.43649329937152e-08,0.595018789061178,0.052637732007755,1.1470167644712e-11,0.352343342330082,1.02172492355557e-08,8.20070810100024e-08,2.52059212342498e-13,"Middle"
"1986",1986,2.88243049693757e-08,0.542330139972906,0.0304558899411789,4.90550558362821e-11,0.427213751279505,2.75655026190439e-08,1.62366688609987e-07,8.58687112091101e-13,"Middle"
"19872",1987,5.28902358174429e-12,0.590727870793714,0.0032908928218657,2.45430612092038e-13,0.405981225993276,8.54429971464806e-11,1.03001663372974e-08,4.00616356719655e-17,"Middle"
"19891",1989,7.02626827552558e-15,0.420044015337015,0.000253803121534453,4.76994023981754e-14,0.579702175754275,5.18968900510307e-12,5.78193126200815e-09,1.87554284316757e-19,"Middle"
"19902",1990,2.92719631288872e-08,0.55675896528654,0.0662409131042545,4.81451099978233e-11,0.376999833546215,2.98125121862313e-08,2.28929884148486e-07,4.85823487574455e-13,"Middle"
"19912",1991,1.84547682593077e-14,0.215504420182163,0.000557364015536323,1.38837902962987e-11,0.783937763516317,3.97154311229571e-10,4.51874927285383e-07,1.37240708028108e-17,"Middle"
"19941",1994,0.307783222492438,0.0109936281805878,0.661740132217586,1.3076830161834e-06,0.0182337495289913,0.0010715795600475,4.835313191004e-05,0.000128027205423344,"Middle"
